RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,30.11.22,31.01.23,31.10.23,
,,,,,,0.38,0.63,0.78,AVERAGE
102001,0,United States,country,,31.10.22,0.2,0.4,1.2,
394913,1,"New York, NY",msa,NY,31.10.22,0.1,-0.1,-1.4,
753899,2,"Los Angeles, CA",msa,CA,31.10.22,-0.1,-0.8,-1.8,
394463,3,"Chicago, IL",msa,IL,31.10.22,0.3,0.3,-1.4,
394514,4,"Dallas, TX",msa,TX,31.10.22,0.3,0.6,2.2,
394692,5,"Houston, TX",msa,TX,31.10.22,0.3,0.7,0.9,
395209,6,"Washington, DC",msa,VA,31.10.22,0.3,0.2,-1.2,
394856,7,"Miami, FL",msa,FL,31.10.22,0.3,0.4,2,
394974,8,"Philadelphia, PA",msa,PA,31.10.22,0.5,0.8,0.8,
394347,9,"Atlanta, GA",msa,GA,31.10.22,-0.1,-0.1,2.6,
394976,10,"Phoenix, AZ",msa,AZ,31.10.22,-0.7,-0.8,2.6,
394404,11,"Boston, MA",msa,MA,31.10.22,-0.1,-0.3,-1.1,
395057,12,"San Francisco, CA",msa,CA,31.10.22,-0.4,-1.8,-3.6,
395025,13,"Riverside, CA",msa,CA,31.10.22,-0.1,-0.1,1.2,
394532,14,"Detroit, MI",msa,MI,31.10.22,0.3,0.5,0.7,
395078,15,"Seattle, WA",msa,WA,31.10.22,0.1,-0.3,0.5,
394865,16,"Minneapolis, MN",msa,MN,31.10.22,0.3,0.3,-0.5,
395056,17,"San Diego, CA",msa,CA,31.10.22,-0.4,-0.9,-0.1,
395148,18,"Tampa, FL",msa,FL,31.10.22,0,0,3.8,
394530,19,"Denver, CO",msa,CO,31.10.22,0.1,0.2,0.4,
395121,20,"St. Louis, MO",msa,MO,31.10.22,0.5,0.8,0.6,
394358,21,"Baltimore, MD",msa,MD,31.10.22,0.2,0.2,-1.6,
394458,22,"Charlotte, NC",msa,NC,31.10.22,0,0.4,3.6,
394943,23,"Orlando, FL",msa,FL,31.10.22,0.1,0.1,2.3,
395055,24,"San Antonio, TX",msa,TX,31.10.22,0,0,0.7,
394998,25,"Portland, OR",msa,OR,31.10.22,0,-0.4,-1.1,
395045,26,"Sacramento, CA",msa,CA,31.10.22,-0.1,-0.5,-0.2,
394775,27,"Las Vegas, NV",msa,NV,31.10.22,-1.3,-2,0,
394982,28,"Pittsburgh, PA",msa,PA,31.10.22,0.1,0.2,-0.4,
394355,29,"Austin, TX",msa,TX,31.10.22,-1.1,-2.7,-0.4,
394466,30,"Cincinnati, OH",msa,OH,31.10.22,0.4,0.8,1.8,
394735,31,"Kansas City, MO",msa,MO,31.10.22,0.5,1.1,2,
394492,32,"Columbus, OH",msa,OH,31.10.22,0,0.2,1.4,
394705,33,"Indianapolis, IN",msa,IN,31.10.22,0.5,1.1,3.1,
394475,34,"Cleveland, OH",msa,OH,31.10.22,0.2,0.4,0.9,
395059,35,"San Jose, CA",msa,CA,31.10.22,,0.1,-1.8,
394902,36,"Nashville, TN",msa,TN,31.10.22,-0.3,-0.7,1.3,
395194,37,"Virginia Beach, VA",msa,VA,31.10.22,0.3,0.3,-0.4,
395005,38,"Providence, RI",msa,RI,31.10.22,0.2,0.3,0.8,
394714,39,"Jacksonville, FL",msa,FL,31.10.22,0.4,1.3,4.3,
394862,40,"Milwaukee, WI",msa,WI,31.10.22,0.4,0.6,0.8,
394935,41,"Oklahoma City, OK",msa,OK,31.10.22,0.5,0.8,0.6,
395012,42,"Raleigh, NC",msa,NC,31.10.22,-0.3,-0.3,1.7,
394849,43,"Memphis, TN",msa,TN,31.10.22,0.2,0.9,3,
395022,44,"Richmond, VA",msa,VA,31.10.22,0.4,0.5,0.3,
394910,45,"New Orleans, LA",msa,LA,31.10.22,-0.2,-0.1,-1.4,
394807,46,"Louisville, KY",msa,KY,31.10.22,0.3,0.6,0.5,
395053,47,"Salt Lake City, UT",msa,UT,31.10.22,0.2,0.2,2.6,
394669,48,"Hartford, CT",msa,CT,31.10.22,0.4,1,0.2,
394425,49,"Buffalo, NY",msa,NY,31.10.22,0.1,0,1.2,
394388,50,"Birmingham, AL",msa,AL,31.10.22,0.3,0.8,1.5,
394640,51,"Grand Rapids, MI",msa,MI,31.10.22,0.1,0.3,1.7,
395031,52,"Rochester, NY",msa,NY,31.10.22,0.6,1.1,1.2,
395167,53,"Tucson, AZ",msa,AZ,31.10.22,0.1,0.7,3.7,
395169,54,"Tulsa, OK",msa,OK,31.10.22,0.5,0.8,1.2,
394619,55,"Fresno, CA",msa,CA,31.10.22,0.1,0.4,1.5,
753924,56,"Urban Honolulu, HI",msa,HI,31.10.22,-0.6,-1,-2.9,
394938,57,"Omaha, NE",msa,NE,31.10.22,0.6,1.1,1.3,
395238,58,"Worcester, MA",msa,MA,31.10.22,0.5,0.9,1.5,
394415,59,"Bridgeport, CT",msa,CT,31.10.22,-0.3,-0.7,-1.9,
394653,60,"Greenville, SC",msa,SC,31.10.22,0.6,1.6,3.3,
394312,61,"Albuquerque, NM",msa,NM,31.10.22,0.4,0.8,2.5,
394357,62,"Bakersfield, CA",msa,CA,31.10.22,-0.5,-1.1,0,
394308,63,"Albany, NY",msa,NY,31.10.22,0.3,0.5,0.4,
394753,64,"Knoxville, TN",msa,TN,31.10.22,0.5,1.2,4.6,
394843,65,"McAllen, TX",msa,TX,31.10.22,0.6,1.2,2.3,
394367,66,"Baton Rouge, LA",msa,LA,31.10.22,0.2,-0.4,-2.9,
753906,67,"North Port, FL",msa,FL,31.10.22,-0.1,0,2.8,
394908,68,"New Haven, CT",msa,CT,31.10.22,0.2,0.6,1.2,
394486,69,"Columbia, SC",msa,SC,31.10.22,0.4,0.9,2,
394318,70,"Allentown, PA",msa,PA,31.10.22,0.5,0.9,1.9,
394561,71,"El Paso, TX",msa,TX,31.10.22,0.7,1.3,2,
394952,72,"Oxnard, CA",msa,CA,31.10.22,-0.5,-1.5,-1.9,
394457,73,"Charleston, SC",msa,SC,31.10.22,0.4,0.9,2.6,
845158,74,"Dayton, OH",msa,OH,31.10.22,0.2,0.4,1.5,
394440,75,"Cape Coral, FL",msa,FL,31.10.22,0.2,0.5,3.3,
394648,76,"Greensboro, NC",msa,NC,31.10.22,0.4,1.1,3.4,
394399,77,"Boise City, ID",msa,ID,31.10.22,-0.5,-1,3.7,
395134,78,"Stockton, CA",msa,CA,31.10.22,-0.2,-0.8,0.3,
394484,79,"Colorado Springs, CO",msa,CO,31.10.22,-0.3,-0.3,1.9,
394798,80,"Little Rock, AR",msa,AR,31.10.22,0.8,1,-0.5,
394766,81,"Lakeland, FL",msa,FL,31.10.22,-0.3,-0.4,2.9,
394531,82,"Des Moines, IA",msa,IA,31.10.22,0.4,0.6,-0.4,
394304,83,"Akron, OH",msa,OH,31.10.22,0.5,0.9,1.2,
395115,84,"Springfield, MA",msa,MA,31.10.22,0.4,0.5,0.3,
394931,85,"Ogden, UT",msa,UT,31.10.22,-0.2,-0.2,3.2,
394528,86,"Deltona, FL",msa,FL,31.10.22,0.4,0.7,3.6,
395235,87,"Winston, NC",msa,NC,31.10.22,0.9,2,4.5,
394816,89,"Madison, WI",msa,WI,31.10.22,0.8,1.2,1,
395006,90,"Provo, UT",msa,UT,31.10.22,-0.1,-0.5,2.8,
394549,91,"Durham, NC",msa,NC,31.10.22,0,0.3,3.1,
395143,92,"Syracuse, NY",msa,NY,31.10.22,0.5,1.1,1.6,
395224,93,"Wichita, KS",msa,KS,31.10.22,0.5,0.9,0.6,
395160,94,"Toledo, OH",msa,OH,31.10.22,0.3,0.4,0.6,
394352,95,"Augusta, GA",msa,GA,31.10.22,0.8,1.5,2.6,
394957,96,"Palm Bay, FL",msa,FL,31.10.22,-0.1,-0.3,2.1,
394711,97,"Jackson, MS",msa,MS,31.10.22,0.3,0.4,-0.5,
394666,98,"Harrisburg, PA",msa,PA,31.10.22,0.7,1.2,0.8,
395113,99,"Spokane, WA",msa,WA,31.10.22,-0.3,-0.4,3.8,
394460,100,"Chattanooga, TN",msa,TN,31.10.22,0.4,0.8,3.3,
395075,101,"Scranton, PA",msa,PA,31.10.22,0.5,1,2.4,
394871,102,"Modesto, CA",msa,CA,31.10.22,-0.8,-1.7,-1.5,
394590,103,"Fayetteville, AR",msa,AR,31.10.22,0.5,0.8,3.7,
394770,104,"Lansing, MI",msa,MI,31.10.22,0.3,0.9,1.2,
394768,105,"Lancaster, PA",msa,PA,31.10.22,0.5,1.1,1.5,
394997,106,"Portland, ME",msa,ME,31.10.22,0.8,1.4,2.9,
395245,107,"Youngstown, OH",msa,OH,31.10.22,0.6,1.2,2.8,
394589,108,"Fayetteville, NC",msa,NC,31.10.22,0.9,1.9,3,
394792,109,"Lexington, KY",msa,KY,31.10.22,0.5,0.8,1.1,
394898,110,"Myrtle Beach, SC",msa,SC,31.10.22,-0.7,-0.5,2,
394971,111,"Pensacola, FL",msa,FL,31.10.22,0.6,1.2,3.8,
394995,112,"Port St. Lucie, FL",msa,FL,31.10.22,0.3,0.6,3.7,
395068,113,"Santa Rosa, CA",msa,CA,31.10.22,0.4,-0.3,-2.4,
394761,114,"Lafayette, LA",msa,LA,31.10.22,0.1,-0.4,-2.8,
394698,115,"Huntsville, AL",msa,AL,31.10.22,0,0,2.7,
395019,116,"Reno, NV",msa,NV,31.10.22,-0.9,-1.7,-0.7,
395116,117,"Springfield, MO",msa,MO,31.10.22,0.5,1,3.6,
395195,118,"Visalia, CA",msa,CA,31.10.22,-0.2,-1.2,-0.3,
394746,119,"Killeen, TX",msa,TX,31.10.22,0.4,0.4,3.4,
394338,120,"Asheville, NC",msa,NC,31.10.22,0.5,1.1,2.8,
395244,121,"York, PA",msa,PA,31.10.22,0.4,0.8,0.6,
395183,122,"Vallejo, CA",msa,CA,31.10.22,-1.1,-1.7,-2.3,
753917,123,"Santa Maria, CA",msa,CA,31.10.22,0.4,0.9,1.6,
395048,124,"Salem, OR",msa,OR,31.10.22,0.3,0.7,2.3,
395050,125,"Salinas, CA",msa,CA,31.10.22,-0.5,-1.3,-1.5,
394502,126,"Corpus Christi, TX",msa,TX,31.10.22,0,-0.2,-1.5,
394870,127,"Mobile, AL",msa,AL,31.10.22,0.5,0.9,1.7,
394421,128,"Brownsville, TX",msa,TX,31.10.22,0.9,1.4,3.7,
395051,129,"Salisbury, MD",msa,DE,31.10.22,0.3,0.3,1.1,
395015,130,"Reading, PA",msa,PA,31.10.22,0.6,1,1.8,
